,name,id,level
505,athletics & sports,4f4528bc4b90abdf24c9de85,1
506,badminton court,52e81612bcbc57f1066b7a2b,2
507,baseball field,4bf58dd8d48988d1e8941735,2
508,basketball court,4bf58dd8d48988d1e1941735,2
509,bowling green,52e81612bcbc57f1066b7a2f,2
510,curling ice,56aa371be4b08b9a8d57351a,2
511,golf course,4bf58dd8d48988d1e6941735,2
512,golf driving range,58daa1558bbb0b01f18ec1b0,2
513,gym fitness center,4bf58dd8d48988d175941735,2
514,boxing gym,52f2ab2ebcbc57f1066b8b47,3
515,climbing gym,503289d391d4c4b30a586d6a,3
516,cycle studio,52f2ab2ebcbc57f1066b8b49,3
517,gym pool,4bf58dd8d48988d105941735,3
518,gymnastics gym,52f2ab2ebcbc57f1066b8b48,3
519,gym,4bf58dd8d48988d176941735,3
520,martial arts school,4bf58dd8d48988d101941735,3
521,outdoor gym,58daa1558bbb0b01f18ec203,3
522,pilates studio,5744ccdfe4b0c0459246b4b2,3
523,track,4bf58dd8d48988d106941735,3
524,weight loss center,590a0744340a5803fd8508c3,3
525,yoga studio,4bf58dd8d48988d102941735,3
526,hockey field,4f452cd44b9081a197eba860,2
527,hockey rink,56aa371be4b08b9a8d57352c,2
528,paintball field,5032829591d4c4b30a586d5e,2
529,rugby pitch,52e81612bcbc57f1066b7a2c,2
530,skate park,4bf58dd8d48988d167941735,2
531,skating rink,4bf58dd8d48988d168941735,2
532,soccer field,4cce455aebf7b749d5e191f5,2
533,sports club,52e81612bcbc57f1066b7a2e,2
534,squash court,52e81612bcbc57f1066b7a2d,2
535,tennis court,4e39a956bd410d7aed40cbc3,2
536,volleyball court,4eb1bf013b7b6f98df247e07,2
537,bathing area,52e81612bcbc57f1066b7a28,1
538,bay,56aa371be4b08b9a8d573544,1
539,beach,4bf58dd8d48988d1e2941735,1
540,nudist beach,52e81612bcbc57f1066b7a30,2
541,surf spot,4bf58dd8d48988d1e3941735,2
542,bike trail,56aa371be4b08b9a8d57355e,1
543,boat launch,5fabfc8099ce226e27fe6b0d,1
544,botanical garden,52e81612bcbc57f1066b7a22,1
545,bridge,4bf58dd8d48988d1df941735,1
546,campground,4bf58dd8d48988d1e4941735,1
547,canal lock,56aa371be4b08b9a8d57353b,1
548,canal,56aa371be4b08b9a8d573562,1
